,suspicious_value,group_statistics,conditions,tree_depth,uses_NA_branch,outlier_score
763,{},{},[],,,
764,{},{},[],,,
765,{},{},[],,,
766,{},{},[],,,
767,{},{},[],,,
768,{},{},[],,,
769,{},{},[],,,
770,{},{},[],,,
771,{},{},[],,,
772,{},{},[],,,
773,{},{},[],,,
774,{},{},[],,,
775,{},{},[],,,
776,{},{},[],,,
777,{},{},[],,,
778,"{'column': 'A0', 'value': 5.732555054798875, 'decimals': 0}","{'upper_thr': 2.544521203, 'pct_below': 0.9929266136162688, 'mean': 0.6094087729884243, 'sd': 0.43325339488110864, 'n_obs': 1123}","[{'column': 'A17', 'comparison': '<=', 'value_comp': 0.8315943109999999, 'value_this': 0.317671259, 'decimals': 1}]",1.0,0.0,0.006876187616103461
779,{},{},[],,,
780,{},{},[],,,
781,{},{},[],,,
782,{},{},[],,,
783,{},{},[],,,
784,{},{},[],,,
785,{},{},[],,,
786,{},{},[],,,
787,{},{},[],,,
788,"{'column': 'A14', 'value': 9.53784470724274, 'decimals': 0}","{'upper_thr': 4.062695671, 'pct_below': 0.991869918699187, 'mean': 0.7937051759653221, 'sd': 0.5705249975211947, 'n_obs': 1586}","[{'column': 'A18', 'comparison': '>', 'value_comp': 0.024596186000000003, 'value_this': 0.182305577, 'decimals': 1}]",1.0,0.0,0.003896912947651678
789,{},{},[],,,
790,{},{},[],,,
791,{},{},[],,,
792,{},{},[],,,
793,{},{},[],,,
794,{},{},[],,,
795,{},{},[],,,
796,{},{},[],,,
797,{},{},[],,,
798,{},{},[],,,
799,{},{},[],,,
800,{},{},[],,,
801,{},{},[],,,
802,{},{},[],,,
803,"{'column': 'A20', 'value': 5.137397523417655, 'decimals': 0}","{'upper_thr': 2.126605467, 'pct_below': 0.987012987012987, 'mean': 0.9115633110263158, 'sd': 0.47512303765953323, 'n_obs': 76}","[{'column': 'A9', 'comparison': '>', 'value_comp': 1.322240652, 'value_this': 1.384480937, 'decimals': 1}, {'column': 'A13', 'comparison': '<=', 'value_comp': 0.97470526, 'value_this': 0.400329666, 'decimals': 1}]",2.0,0.0,0.012462151290470068
804,{},{},[],,,
805,{},{},[],,,
806,{},{},[],,,
807,{},{},[],,,
808,{},{},[],,,
809,{},{},[],,,
810,{},{},[],,,
811,{},{},[],,,
812,{},{},[],,,
813,{},{},[],,,
814,{},{},[],,,
815,{},{},[],,,
816,{},{},[],,,
817,{},{},[],,,
818,{},{},[],,,
819,{},{},[],,,
820,{},{},[],,,
821,{},{},[],,,
822,{},{},[],,,
823,{},{},[],,,
824,{},{},[],,,
825,{},{},[],,,
826,{},{},[],,,
827,{},{},[],,,
828,{},{},[],,,
829,{},{},[],,,
830,{},{},[],,,
831,{},{},[],,,
832,{},{},[],,,
833,{},{},[],,,
834,{},{},[],,,
835,{},{},[],,,
836,{},{},[],,,
837,{},{},[],,,
838,{},{},[],,,
839,{},{},[],,,
840,"{'column': 'A10', 'value': 11.32946660838057, 'decimals': 0}","{'upper_thr': 7.231817841, 'pct_below': 0.9921450151057402, 'mean': 0.7334583648781969, 'sd': 0.6748631446469068, 'n_obs': 1642}",[],0.0,0.0,0.0031957405451462926
841,{},{},[],,,
842,{},{},[],,,
843,{},{},[],,,
844,{},{},[],,,
845,{},{},[],,,
846,{},{},[],,,
847,{},{},[],,,
848,{},{},[],,,
849,{},{},[],,,
850,{},{},[],,,
851,{},{},[],,,
852,{},{},[],,,
853,{},{},[],,,
854,{},{},[],,,
855,{},{},[],,,
856,{},{},[],,,
857,"{'column': 'A10', 'value': 5.716903417, 'decimals': 0}","{'upper_thr': 3.2487844110000004, 'pct_below': 0.9953917050691244, 'mean': 0.5805404933217593, 'sd': 0.5023459153730125, 'n_obs': 432}","[{'column': 'A20', 'comparison': '<=', 'value_comp': 0.493293969, 'value_this': 0.493293969, 'decimals': 1}, {'column': 'A7', 'comparison': '<=', 'value_comp': 0.8727133690000001, 'value_this': 0.682748729, 'decimals': 1}]",2.0,0.0,0.007701839973864724
858,{},{},[],,,
859,{},{},[],,,
860,{},{},[],,,
861,{},{},[],,,
862,{},{},[],,,
863,{},{},[],,,
864,{},{},[],,,
865,{},{},[],,,
866,{},{},[],,,
867,{},{},[],,,
868,"{'column': 'A14', 'value': 7.351374707178729, 'decimals': 0}","{'upper_thr': 4.062695671, 'pct_below': 0.991869918699187, 'mean': 0.7937051759653221, 'sd': 0.5705249975211947, 'n_obs': 1586}","[{'column': 'A18', 'comparison': '>', 'value_comp': 0.024596186000000003, 'value_this': 0.5271418489999999, 'decimals': 1}]",1.0,0.0,0.006925519646659079
869,{},{},[],,,
870,{},{},[],,,
871,{},{},[],,,
872,{},{},[],,,
873,{},{},[],,,
874,{},{},[],,,
875,{},{},[],,,
876,{},{},[],,,
877,{},{},[],,,
878,{},{},[],,,
879,{},{},[],,,
880,{},{},[],,,
881,{},{},[],,,
882,{},{},[],,,
883,{},{},[],,,
884,{},{},[],,,
885,{},{},[],,,
886,{},{},[],,,
887,{},{},[],,,
888,{},{},[],,,
889,{},{},[],,,
890,{},{},[],,,
891,{},{},[],,,
892,{},{},[],,,
893,{},{},[],,,
894,{},{},[],,,
895,{},{},[],,,
896,{},{},[],,,
897,{},{},[],,,
898,{},{},[],,,
899,{},{},[],,,
900,{},{},[],,,
901,{},{},[],,,
902,{},{},[],,,
903,{},{},[],,,
904,"{'column': 'A17', 'value': 7.744950930242362, 'decimals': 0}","{'upper_thr': 2.172404143, 'pct_below': 0.9929133858267717, 'mean': 0.6285512101197462, 'sd': 0.44359854947916805, 'n_obs': 1261}","[{'column': 'A13', 'comparison': '<=', 'value_comp': 1.170349224, 'value_this': 0.314688495, 'decimals': 1}]",1.0,0.0,0.003788457155182495
905,{},{},[],,,
906,{},{},[],,,
907,"{'column': 'A10', 'value': 14.003502974036195, 'decimals': 0}","{'upper_thr': 7.231817841, 'pct_below': 0.9921450151057402, 'mean': 0.7334583648781969, 'sd': 0.6748631446469068, 'n_obs': 1642}",[],0.0,0.0,0.0020389046874376344
908,{},{},[],,,
909,{},{},[],,,
910,{},{},[],,,
911,{},{},[],,,
912,{},{},[],,,
913,{},{},[],,,
914,{},{},[],,,
915,"{'column': 'A0', 'value': 6.7659859531914135, 'decimals': 0}","{'upper_thr': 2.544521203, 'pct_below': 0.9929266136162688, 'mean': 0.6094087729884243, 'sd': 0.43325339488110864, 'n_obs': 1123}","[{'column': 'A17', 'comparison': '<=', 'value_comp': 0.8315943109999999, 'value_this': 0.065417265, 'decimals': 1}]",1.0,0.0,0.004762298278548353
916,{},{},[],,,
917,{},{},[],,,
918,{},{},[],,,
919,{},{},[],,,
920,{},{},[],,,
921,{},{},[],,,
922,{},{},[],,,
923,{},{},[],,,
924,{},{},[],,,
925,{},{},[],,,
926,{},{},[],,,
927,{},{},[],,,
928,{},{},[],,,
929,{},{},[],,,
930,{},{},[],,,
931,{},{},[],,,
932,{},{},[],,,
933,{},{},[],,,
934,{},{},[],,,
935,{},{},[],,,
936,"{'column': 'A14', 'value': 8.570107121139753, 'decimals': 0}","{'upper_thr': 4.062695671, 'pct_below': 0.991869918699187, 'mean': 0.7937051759653221, 'sd': 0.5705249975211947, 'n_obs': 1586}","[{'column': 'A18', 'comparison': '>', 'value_comp': 0.024596186000000003, 'value_this': 0.162530695, 'decimals': 1}]",1.0,0.0,0.004926307578908386
937,{},{},[],,,
938,{},{},[],,,
939,{},{},[],,,
940,{},{},[],,,
941,{},{},[],,,
942,{},{},[],,,
943,"{'column': 'A0', 'value': 4.711287351879191, 'decimals': 0}","{'upper_thr': 2.544521203, 'pct_below': 0.9982817869415808, 'mean': 0.8801917936987953, 'sd': 0.4087342139186797, 'n_obs': 581}","[{'column': 'A18', 'comparison': '>', 'value_comp': 0.5073669679999999, 'value_this': 0.783235985, 'decimals': 1}, {'column': 'A18', 'comparison': '<=', 'value_comp': 1.059105003, 'value_this': 0.783235985, 'decimals': 1}]",2.0,0.0,0.010329959195688231
944,"{'column': 'A10', 'value': 17.728025929880896, 'decimals': 0}","{'upper_thr': 7.231817841, 'pct_below': 0.9921450151057402, 'mean': 0.7334583648781969, 'sd': 0.6748631446469068, 'n_obs': 1642}",[],0.0,0.0,0.001243854425402792
945,{},{},[],,,
946,{},{},[],,,
947,{},{},[],,,
948,{},{},[],,,
949,{},{},[],,,
950,"{'column': 'A0', 'value': 5.498935105375483, 'decimals': 0}","{'upper_thr': 1.7939773140000002, 'pct_below': 0.9911838790931989, 'mean': 0.477272987613723, 'sd': 0.3488535900246079, 'n_obs': 787}","[{'column': 'A16', 'comparison': '<=', 'value_comp': 0.54015372, 'value_this': 0.481811077, 'decimals': 1}]",1.0,0.0,0.004533786070348011
951,{},{},[],,,
952,{},{},[],,,
953,{},{},[],,,
954,{},{},[],,,
955,{},{},[],,,
956,{},{},[],,,
957,"{'column': 'A0', 'value': 6.021465106986918, 'decimals': 0}","{'upper_thr': 2.544521203, 'pct_below': 0.9929266136162688, 'mean': 0.6094087729884243, 'sd': 0.43325339488110864, 'n_obs': 1123}","[{'column': 'A17', 'comparison': '<=', 'value_comp': 0.8315943109999999, 'value_this': 0.065417265, 'decimals': 1}]",1.0,0.0,0.006161978133781665
958,{},{},[],,,
959,"{'column': 'A0', 'value': 5.007119899523996, 'decimals': 0}","{'upper_thr': 2.544521203, 'pct_below': 0.9929266136162688, 'mean': 0.6094087729884243, 'sd': 0.43325339488110864, 'n_obs': 1123}","[{'column': 'A17', 'comparison': '<=', 'value_comp': 0.8315943109999999, 'value_this': 0.06227891, 'decimals': 1}]",1.0,0.0,0.009330289097980702
960,{},{},[],,,
961,{},{},[],,,
962,{},{},[],,,
963,{},{},[],,,
964,{},{},[],,,
965,{},{},[],,,
966,{},{},[],,,
967,{},{},[],,,
968,{},{},[],,,
969,{},{},[],,,
970,{},{},[],,,
971,{},{},[],,,
972,"{'column': 'A19', 'value': 2.215239272, 'decimals': 0}","{'upper_thr': 0.690589748, 'pct_below': 0.9852941176470589, 'mean': 0.6526690682180449, 'sd': 0.048781183570378105, 'n_obs': 133}","[{'column': 'A8', 'comparison': '>', 'value_comp': 0.630673402, 'value_this': 1.222321081, 'decimals': 1}, {'column': 'A9', 'comparison': '>', 'value_comp': 0.420487348, 'value_this': 1.011039223, 'decimals': 1}, {'column': 'A11', 'comparison': '>', 'value_comp': 0.58577676, 'value_this': 2.333216363, 'decimals': 1}]",3.0,0.0,0.002527885674639573
973,{},{},[],,,
974,{},{},[],,,
975,"{'column': 'A16', 'value': 5.650071972074425, 'decimals': 0}","{'upper_thr': 3.00666528, 'pct_below': 0.9936974789915967, 'mean': 0.36258727288160675, 'sd': 0.28878530868468416, 'n_obs': 946}","[{'column': 'A18', 'comparison': '<=', 'value_comp': 0.714268731, 'value_this': 0.645301476, 'decimals': 1}]",1.0,0.0,0.0020535363620077752
976,{},{},[],,,
977,{},{},[],,,
978,{},{},[],,,
979,{},{},[],,,
980,{},{},[],,,
981,{},{},[],,,
982,{},{},[],,,
983,{},{},[],,,
984,{},{},[],,,
985,"{'column': 'A14', 'value': 9.771583766708543, 'decimals': 0}","{'upper_thr': 4.062695671, 'pct_below': 0.991869918699187, 'mean': 0.7937051759653221, 'sd': 0.5705249975211947, 'n_obs': 1586}","[{'column': 'A18', 'comparison': '>', 'value_comp': 0.024596186000000003, 'value_this': 0.665076358, 'decimals': 1}]",1.0,0.0,0.0036967773448459283
986,{},{},[],,,
987,{},{},[],,,
988,"{'column': 'A7', 'value': 5.404473820912171, 'decimals': 0}","{'upper_thr': 1.4111425569999998, 'pct_below': 0.9634146341463414, 'mean': 0.6626705604177214, 'sd': 0.349489977790946, 'n_obs': 79}","[{'column': 'A11', 'comparison': '<=', 'value_comp': 0.8240639790000001, 'value_this': 0.8240639790000001, 'decimals': 1}, {'column': 'A0', 'comparison': '<=', 'value_comp': 0.947441018, 'value_this': 0.312538796, 'decimals': 1}, {'column': 'A8', 'comparison': '<=', 'value_comp': 1.093922023, 'value_this': 0.3990490920000001, 'decimals': 1}, {'column': 'A12', 'comparison': '>', 'value_comp': 1.012198086, 'value_this': 1.261656666, 'decimals': 1}]",4.0,0.0,0.005789465862366881
989,{},{},[],,,
990,{},{},[],,,
991,{},{},[],,,
992,{},{},[],,,
993,{},{},[],,,
994,{},{},[],,,
995,"{'column': 'A17', 'value': 4.865259471010315, 'decimals': 0}","{'upper_thr': 2.23625223, 'pct_below': 0.9974424552429667, 'mean': 0.6216800333435898, 'sd': 0.4333016458033576, 'n_obs': 390}","[{'column': 'A4', 'comparison': '<=', 'value_comp': 0.683235264, 'value_this': 0.412511671, 'decimals': 1}]",1.0,0.0,0.009194659612631153
996,"{'column': 'A16', 'value': 5.828875108565387, 'decimals': 0}","{'upper_thr': 3.00666528, 'pct_below': 0.9936974789915967, 'mean': 0.36258727288160675, 'sd': 0.28878530868468416, 'n_obs': 946}","[{'column': 'A18', 'comparison': '<=', 'value_comp': 0.714268731, 'value_this': 0.596109104, 'decimals': 1}]",1.0,0.0,0.001921636317891748
997,"{'column': 'A17', 'value': 7.253215038609184, 'decimals': 0}","{'upper_thr': 2.871594747, 'pct_below': 0.9902182091798345, 'mean': 0.5120842108791792, 'sd': 0.34117087658797596, 'n_obs': 1316}","[{'column': 'A18', 'comparison': '<=', 'value_comp': 1.14784714, 'value_this': 0.113338323, 'decimals': 1}]",1.0,0.0,0.002379459187666389
998,{},{},[],,,
999,{},{},[],,,
1000,{},{},[],,,
1001,{},{},[],,,
1002,{},{},[],,,
1003,{},{},[],,,
1004,{},{},[],,,
1005,{},{},[],,,
1006,{},{},[],,,
1007,{},{},[],,,
1008,"{'column': 'A16', 'value': 7.3612911400662835, 'decimals': 0}","{'upper_thr': 5.0513956439920715, 'pct_below': 0.9968992248062015, 'mean': 0.9761172195342135, 'sd': 0.4276766535965663, 'n_obs': 643}","[{'column': 'A17', 'comparison': '<=', 'value_comp': 1.725467532, 'value_this': 1.342379009, 'decimals': 1}, {'column': 'A18', 'comparison': '>', 'value_comp': 0.714268731, 'value_this': 0.783235985, 'decimals': 1}]",2.0,0.0,0.002730788682535179
1009,{},{},[],,,
1010,"{'column': 'A17', 'value': 6.3547012718461255, 'decimals': 0}","{'upper_thr': 2.172404143, 'pct_below': 0.9929133858267717, 'mean': 0.6285512101197462, 'sd': 0.44359854947916805, 'n_obs': 1261}","[{'column': 'A13', 'comparison': '<=', 'value_comp': 1.170349224, 'value_this': 0.314688495, 'decimals': 1}]",1.0,0.0,0.00585081970308341
1011,{},{},[],,,
1012,{},{},[],,,
1013,{},{},[],,,
1014,{},{},[],,,
1015,"{'column': 'A17', 'value': 6.679226418682134, 'decimals': 0}","{'upper_thr': 2.172404143, 'pct_below': 0.9929133858267717, 'mean': 0.6285512101197462, 'sd': 0.44359854947916805, 'n_obs': 1261}","[{'column': 'A13', 'comparison': '<=', 'value_comp': 1.170349224, 'value_this': 0.369689892, 'decimals': 1}]",1.0,0.0,0.0052401739858235425
1016,{},{},[],,,
1017,{},{},[],,,
1018,{},{},[],,,
1019,{},{},[],,,
1020,{},{},[],,,
1021,{},{},[],,,
1022,{},{},[],,,
1023,"{'column': 'A14', 'value': 11.5544966976292, 'decimals': 0}","{'upper_thr': 4.062695671, 'pct_below': 0.991869918699187, 'mean': 0.7937051759653221, 'sd': 0.5705249975211947, 'n_obs': 1586}","[{'column': 'A18', 'comparison': '>', 'value_comp': 0.024596186000000003, 'value_this': 0.940945376, 'decimals': 1}]",1.0,0.0,0.0025738355681460085
1024,{},{},[],,,
1025,{},{},[],,,
1026,{},{},[],,,
1027,{},{},[],,,
1028,{},{},[],,,
1029,{},{},[],,,
1030,{},{},[],,,
1031,{},{},[],,,
1032,{},{},[],,,
1033,{},{},[],,,
1034,{},{},[],,,
1035,{},{},[],,,
1036,{},{},[],,,
1037,{},{},[],,,
1038,{},{},[],,,
1039,{},{},[],,,
1040,{},{},[],,,
1041,{},{},[],,,
1042,{},{},[],,,
1043,{},{},[],,,
1044,"{'column': 'A3', 'value': 6.3510351351236825, 'decimals': 0}","{'upper_thr': 3.584122058, 'pct_below': 0.9952904238618524, 'mean': 0.7848178262870661, 'sd': 0.528806769965849, 'n_obs': 634}","[{'column': 'A19', 'comparison': '<=', 'value_comp': 0.445021593, 'value_this': 0.222985078, 'decimals': 1}]",1.0,0.0,0.008293285506304105
1045,{},{},[],,,
1046,{},{},[],,,
1047,{},{},[],,,
1048,"{'column': 'A11', 'value': 5.730041213007048, 'decimals': 0}","{'upper_thr': 1.664713638, 'pct_below': 0.9933774834437086, 'mean': 0.707504573619167, 'sd': 0.39450926710800494, 'n_obs': 1200}","[{'column': 'A13', 'comparison': '<=', 'value_comp': 1.06034643, 'value_this': 0.42469129, 'decimals': 1}]",1.0,0.0,0.006091872103682324
1049,{},{},[],,,
1050,{},{},[],,,
1051,{},{},[],,,
1052,{},{},[],,,
1053,{},{},[],,,
1054,"{'column': 'A18', 'value': 8.108781595016053, 'decimals': 0}","{'upper_thr': 2.71431911, 'pct_below': 0.9910380881254668, 'mean': 0.5680870879487568, 'sd': 0.4179124624845786, 'n_obs': 1327}","[{'column': 'A0', 'comparison': '<=', 'value_comp': 1.264892129, 'value_this': 0.629989907, 'decimals': 1}]",1.0,0.0,0.002852057038146739
1055,"{'column': 'A16', 'value': 2.223389855, 'decimals': 0}","{'upper_thr': 1.143082416, 'pct_below': 0.996875, 'mean': 0.5299471561880877, 'sd': 0.17981330195049186, 'n_obs': 319}","[{'column': 'A4', 'comparison': '<=', 'value_comp': 0.886609555, 'value_this': 0.6835984740000001, 'decimals': 1}, {'column': 'A18', 'comparison': '>', 'value_comp': 0.38920734, 'value_this': 0.5271418489999999, 'decimals': 1}, {'column': 'A18', 'comparison': '<=', 'value_comp': 0.714268731, 'value_this': 0.5271418489999999, 'decimals': 1}]",3.0,0.0,0.008710072898823565
1056,"{'column': 'A12', 'value': 5.429142287510317, 'decimals': 0}","{'upper_thr': 2.1594895640000003, 'pct_below': 0.9985443959243085, 'mean': 0.5922115239212831, 'sd': 0.38004077151858356, 'n_obs': 686}","[{'column': 'A16', 'comparison': '>', 'value_comp': 0.061002043, 'value_this': 0.54015372, 'decimals': 1}, {'column': 'A11', 'comparison': '<=', 'value_comp': 0.718158548, 'value_this': 0.347489541, 'decimals': 1}]",2.0,0.0,0.005719826354161797
1057,"{'column': 'A11', 'value': 4.6825309367513945, 'decimals': 0}","{'upper_thr': 2.70388537, 'pct_below': 0.9883720930232558, 'mean': 1.4468974321882353, 'sd': 0.32810163860003677, 'n_obs': 85}","[{'column': 'A19', 'comparison': '>', 'value_comp': 0.645423595, 'value_this': 1.079627931, 'decimals': 1}, {'column': 'A8', 'comparison': '<=', 'value_comp': 1.209734178, 'value_this': 0.52744815, 'decimals': 1}, {'column': 'A13', 'comparison': '>', 'value_comp': 1.06034643, 'value_this': 1.909729009, 'decimals': 1}, {'column': 'A12', 'comparison': '>', 'value_comp': 0.442007048, 'value_this': 1.404204425, 'decimals': 1}]",4.0,0.0,0.004309117347772833
1058,{},{},[],,,
1059,{},{},[],,,
1060,{},{},[],,,
1061,{},{},[],,,
1062,{},{},[],,,
1063,{},{},[],,,
1064,{},{},[],,,
1065,"{'column': 'A12', 'value': 4.899856261854966, 'decimals': 0}","{'upper_thr': 1.439841365, 'pct_below': 0.9895561357702349, 'mean': 0.6181059089656993, 'sd': 0.43424892056631237, 'n_obs': 379}","[{'column': 'A4', 'comparison': '<=', 'value_comp': 0.668827589, 'value_this': 0.396245569, 'decimals': 1}]",1.0,0.0,0.01065859226744202
1066,{},{},[],,,
1067,{},{},[],,,
1068,{},{},[],,,
1069,{},{},[],,,
1070,"{'column': 'A17', 'value': 5.121278659555356, 'decimals': 0}","{'upper_thr': 2.871594747, 'pct_below': 0.9902182091798345, 'mean': 0.5120842108791792, 'sd': 0.34117087658797596, 'n_obs': 1316}","[{'column': 'A18', 'comparison': '<=', 'value_comp': 1.14784714, 'value_this': 0.458174595, 'decimals': 1}]",1.0,0.0,0.005089656271204531
1071,{},{},[],,,
1072,{},{},[],,,
1073,"{'column': 'A10', 'value': 14.469291636843169, 'decimals': 0}","{'upper_thr': 7.231817841, 'pct_below': 0.9921450151057402, 'mean': 0.7334583648781969, 'sd': 0.6748631446469068, 'n_obs': 1642}",[],0.0,0.0,0.0019031370002266822
1074,{},{},[],,,
1075,{},{},[],,,
1076,"{'column': 'A0', 'value': 5.195725737346825, 'decimals': 0}","{'upper_thr': 2.121253055, 'pct_below': 0.92, 'mean': 1.5519446816086955, 'sd': 0.49642258455744076, 'n_obs': 23}","[{'column': 'A3', 'comparison': '<=', 'value_comp': 0.141257691, 'value_this': 0.114285033, 'decimals': 1}, {'column': 'A17', 'comparison': '<=', 'value_comp': 1.470075183, 'value_this': 1.083848305, 'decimals': 1}, {'column': 'A18', 'comparison': '>', 'value_comp': 1.059105003, 'value_this': 1.285781648, 'decimals': 1}]",3.0,0.0,0.01431219916167097
1077,{},{},[],,,
1078,{},{},[],,,
1079,{},{},[],,,
1080,{},{},[],,,
1081,{},{},[],,,
1082,{},{},[],,,
1083,{},{},[],,,
1084,{},{},[],,,
1085,"{'column': 'A12', 'value': 4.706749337434272, 'decimals': 0}","{'upper_thr': 2.444585084, 'pct_below': 0.9738562091503268, 'mean': 1.2669917762617455, 'sd': 0.3277595569341606, 'n_obs': 149}","[{'column': 'A14', 'comparison': '>', 'value_comp': 1.097401286, 'value_this': 1.310643961, 'decimals': 1}, {'column': 'A8', 'comparison': '>', 'value_comp': 0.411635995, 'value_this': 0.514861247, 'decimals': 1}, {'column': 'A11', 'comparison': '>', 'value_comp': 0.718158548, 'value_this': 0.7446349059999999, 'decimals': 1}]",3.0,0.0,0.009008981212322173
1086,{},{},[],,,
1087,{},{},[],,,
1088,{},{},[],,,
1089,{},{},[],,,
1090,{},{},[],,,
1091,{},{},[],,,
1092,{},{},[],,,
1093,"{'column': 'A17', 'value': 0.512353875, 'decimals': 0}","{'lower_thr': 1.530784916, 'pct_above': 0.9666666666666667, 'mean': 1.9535742299999996, 'sd': 0.15625838426002192, 'n_obs': 29}","[{'column': 'A18', 'comparison': '<=', 'value_comp': 2.182355956, 'value_this': 1.955679311, 'decimals': 1}, {'column': 'A18', 'comparison': '>', 'value_comp': 1.837519684, 'value_this': 1.955679311, 'decimals': 1}, {'column': 'A18', 'comparison': '>', 'value_comp': 1.14784714, 'value_this': 1.955679311, 'decimals': 1}]",3.0,0.0,0.009563019338105992
1094,{},{},[],,,
1095,{},{},[],,,
1096,"{'column': 'A12', 'value': 5.6243287137364915, 'decimals': 0}","{'upper_thr': 2.230763444, 'pct_below': 0.9943181818181818, 'mean': 1.2365072236628565, 'sd': 0.30780086405438556, 'n_obs': 175}","[{'column': 'A8', 'comparison': '>', 'value_comp': 1.093922023, 'value_this': 3.538564185, 'decimals': 1}, {'column': 'A8', 'comparison': '>', 'value_comp': 0.411635995, 'value_this': 3.538564185, 'decimals': 1}, {'column': 'A11', 'comparison': '>', 'value_comp': 0.718158548, 'value_this': 1.989023714, 'decimals': 1}]",3.0,0.0,0.0038022781166679575
1097,{},{},[],,,
1098,{},{},[],,,
1099,{},{},[],,,
1100,{},{},[],,,
1101,{},{},[],,,
1102,{},{},[],,,
1103,{},{},[],,,
1104,"{'column': 'A17', 'value': 6.305953032907977, 'decimals': 0}","{'upper_thr': 2.871594747, 'pct_below': 0.9902182091798345, 'mean': 0.5120842108791792, 'sd': 0.34117087658797596, 'n_obs': 1316}","[{'column': 'A18', 'comparison': '<=', 'value_comp': 1.14784714, 'value_this': 0.803010867, 'decimals': 1}]",1.0,0.0,0.0032211028844835194
1105,{},{},[],,,
1106,{},{},[],,,
1107,{},{},[],,,
1108,{},{},[],,,
1109,{},{},[],,,
1110,{},{},[],,,
1111,{},{},[],,,
1112,{},{},[],,,
1113,{},{},[],,,
1114,{},{},[],,,
1115,{},{},[],,,
1116,{},{},[],,,
1117,{},{},[],,,
1118,{},{},[],,,
1119,{},{},[],,,
1120,"{'column': 'A7', 'value': 5.0240855597340275, 'decimals': 0}","{'upper_thr': 1.998908966, 'pct_below': 0.9666666666666667, 'mean': 0.8744349325862067, 'sd': 0.5435836815332459, 'n_obs': 58}","[{'column': 'A0', 'comparison': '<=', 'value_comp': 0.418355833, 'value_this': 0.216546389, 'decimals': 1}, {'column': 'A8', 'comparison': '>', 'value_comp': 1.093922023, 'value_this': 1.1065089259999998, 'decimals': 1}, {'column': 'A12', 'comparison': '>', 'value_comp': 1.012198086, 'value_this': 1.332930546, 'decimals': 1}]",3.0,0.0,0.018259163179647594
1121,"{'column': 'A16', 'value': 6.6302845332520155, 'decimals': 0}","{'upper_thr': 3.00666528, 'pct_below': 0.9936974789915967, 'mean': 0.36258727288160675, 'sd': 0.28878530868468416, 'n_obs': 946}","[{'column': 'A18', 'comparison': '<=', 'value_comp': 0.714268731, 'value_this': 0.438399713, 'decimals': 1}]",1.0,0.0,0.0014623462901449992
1122,{},{},[],,,
1123,{},{},[],,,
1124,{},{},[],,,
1125,{},{},[],,,
1126,{},{},[],,,
1127,{},{},[],,,
1128,{},{},[],,,
1129,{},{},[],,,
1130,{},{},[],,,
1131,{},{},[],,,
1132,{},{},[],,,
1133,{},{},[],,,
1134,{},{},[],,,
1135,{},{},[],,,
1136,{},{},[],,,
1137,{},{},[],,,
1138,{},{},[],,,
1139,{},{},[],,,
1140,{},{},[],,,
1141,{},{},[],,,
1142,{},{},[],,,
1143,{},{},[],,,
1144,{},{},[],,,
1145,{},{},[],,,
1146,{},{},[],,,
1147,{},{},[],,,
1148,{},{},[],,,
1149,{},{},[],,,
1150,{},{},[],,,
1151,{},{},[],,,
1152,{},{},[],,,
1153,{},{},[],,,
1154,{},{},[],,,
1155,{},{},[],,,
1156,"{'column': 'A18', 'value': 7.313617860459394, 'decimals': 0}","{'upper_thr': 2.71431911, 'pct_below': 0.9910380881254668, 'mean': 0.5680870879487568, 'sd': 0.4179124624845786, 'n_obs': 1327}","[{'column': 'A0', 'comparison': '<=', 'value_comp': 1.264892129, 'value_this': 0.110729352, 'decimals': 1}]",1.0,0.0,0.0035637234195519045
1157,{},{},[],,,
1158,{},{},[],,,
1159,"{'column': 'A19', 'value': 9.666720726388682, 'decimals': 0}","{'upper_thr': 0.657189414, 'pct_below': 0.9801980198019802, 'mean': 0.4808408709999999, 'sd': 0.14253733129253032, 'n_obs': 99}","[{'column': 'A9', 'comparison': '<=', 'value_comp': 0.388636366, 'value_this': 0.32639608, 'decimals': 1}, {'column': 'A4', 'comparison': '<=', 'value_comp': 0.6835984740000001, 'value_this': 0.6835984740000001, 'decimals': 1}, {'column': 'A11', 'comparison': '<=', 'value_comp': 0.58577676, 'value_this': 0.162155038, 'decimals': 1}]",3.0,0.0,0.011405085732172807
1160,{},{},[],,,
1161,{},{},[],,,
1162,{},{},[],,,
1163,{},{},[],,,
1164,{},{},[],,,
1165,"{'column': 'A16', 'value': 3.004892346, 'decimals': 0}","{'upper_thr': 1.742465245, 'pct_below': 0.96, 'mean': 1.4219227104583334, 'sd': 0.16405717998941532, 'n_obs': 24}","[{'column': 'A20', 'comparison': '>', 'value_comp': 1.140017528, 'value_this': 2.126605467, 'decimals': 1}, {'column': 'A18', 'comparison': '>', 'value_comp': 1.078879885, 'value_this': 2.113388702, 'decimals': 1}, {'column': 'A17', 'comparison': '<=', 'value_comp': 1.725467532, 'value_this': 1.530784916, 'decimals': 1}, {'column': 'A18', 'comparison': '>', 'value_comp': 0.714268731, 'value_this': 2.113388702, 'decimals': 1}]",4.0,0.0,0.008475925257931378
1166,{},{},[],,,
1167,{},{},[],,,
